tweet,date,query,replies,reposts,likes,bookmarks,views
forced birth wealth transfer to the rich inequality authoritarianism voter suppression gerrymandering terrorism insurrection sedition gun violence no background checks dirty air and water destroying planet pandemics lies & disinformation racism misogyny war theocracy no platform,2022-05-23 04:00:40,gun violence,0,0,0,0,0
liberals only care about gun violence when its convenient.,2022-05-23 04:00:14,gun violence,0,0,0,0,0
"the estimated number of defensive uses of guns ranges from about 500,000 to more than 3 million per year.",2022-05-23 03:59:05,gun violence,0,0,0,0,0
no law or laws will stop gun violence. its like saying stop selling lighters because people can start a fire,2022-05-23 03:58:45,gun violence,0,0,0,0,0
you might want to do some research on gun violence.. wtf.. lock yourself in your house then!!,2022-05-23 03:54:39,gun violence,0,0,1,0,0
"wrong. sorry, but wrong. even die hard pro 2nd amendment ppl abhor gun violence. only thing we hate more are the liberal politicians, judges etc that are not enforcing current gun laws...or their policies that continue to ignore and destroy certain communities.",2022-05-23 03:53:57,gun violence,0,0,0,0,0
the stats from many other places worldwide show that it greatly reduces gun violence and killing. dont let the truth get in the way of a good story though,2022-05-23 03:52:44,gun violence,1,0,0,0,0
"if you really want change, then stop pointing fingers & get out and vote. bring your community together & vote. find & promote a candidate that serves your community and vote them into office. if everyone who hates racism & gun violence, did this maybe the cycle would be broken.",2022-05-23 03:51:51,gun violence,0,0,0,0,0
that new gun law in missouri is wild atf cant help local police on investigation on gun violence,2022-05-23 03:50:45,gun violence,0,3,3,1,0
"if you actually cared about black people being hatefully murdered .. . . 99% of black gun violence is black on black. silence crickets :cricket: there was a grocery shooting last year, same weapon, same amount of casualties, but shooter wasnt white, so you dont care.",2022-05-23 03:49:09,gun violence,0,0,1,0,0
the most obvious and helpful of actions! thoughts and prayers! see how much less gun violence we have now in usa? just imagine how much we would have if the politicians didnt give them! just toss covid in those thought and prayers. problem solved!,2022-05-23 03:48:35,gun violence,0,0,1,0,0
:woman_facepalming::woman_facepalming::woman_facepalming: you do know what race causes the majority of gun violence right,2022-05-23 03:48:06,gun violence,0,0,3,0,0
illegal gun violence****,2022-05-23 03:47:46,gun violence,0,0,0,0,0
police: 12 shot and 4 dead after a string of shootings in philadelphia via @6abc,2022-05-23 03:47:22,gun violence,8,6,12,0,0
